,Simulation Id,Flow Id,TX bitrate kbit/s,RX bitrate kbit/s,Mean Delay ms,Packet Loss Ratio %
8805,78,2,527785.1496684487,486865.74546455086,0.05178592188919164,0.06457094307561598
8806,78,3,527789.4092520403,494740.7801730917,0.025877938517179025,0.05550811272416738
8807,78,4,527789.4092520403,528447.6890495404,0.002552874049027895,0.0
8808,78,5,527794.581287264,462413.94229817536,0.04055322896281801,0.10975609756097561
8809,78,6,527794.581287264,462211.09194612043,0.03319873046875,0.11724137931034483
8810,78,7,527794.581287264,528696.8474274533,0.003288334756618275,0.0
8811,78,8,527794.581287264,528344.7199889541,0.005011716481639625,0.0
8812,78,9,527794.581287264,528195.9923377583,0.005397719897523485,0.0
8813,78,10,527794.581287264,516122.67187222926,0.013586013986013987,0.01549053356282272
8814,78,11,527804.1352241386,509992.01457851304,0.01602276422764228,0.016873889875666074
8815,78,12,527819.2628494138,458283.5868741172,0.034590654205607474,0.12054794520547946
8816,78,13,527819.2628494138,528199.2088247336,0.002574792792792793,0.0
8817,78,14,527824.1120420002,458350.5694052828,0.03596206533192835,0.12534562211981568
8818,78,15,527824.1120420002,458333.6594091506,0.03465121180189674,0.12292051756007394
8819,78,16,527824.1120420002,528296.1708952398,0.002843087431693989,0.0
8820,78,17,527834.9764846951,528199.8046895029,0.002548191985088537,0.0
8821,78,18,527840.8966705055,476493.17450535827,0.07154297693920336,0.0728862973760933
8822,78,19,527846.6946682787,528315.6127588137,0.00546624404194471,0.0
8823,78,20,527858.60827956,453819.6051719548,0.03898755707762557,0.1300893743793446
8824,78,21,527858.60827956,477881.80878713314,0.06288586839266451,0.07392607392607392
8825,78,22,527864.4586269995,503288.00827706436,0.02135316062176166,0.03980099502487562
8826,78,23,527864.4586269995,480348.6588695417,0.03907163043478261,0.07907907907907907
8827,78,24,527877.6477921614,528979.3733043983,0.005119767206477732,0.0
8828,78,25,527884.6153846154,528552.7668080908,0.005168410256410257,0.0
8829,78,26,527905.6753556044,500933.91629188275,0.03359325084364455,0.02735229759299781
8830,78,27,527913.3748759193,445422.7988682071,0.05241825192802057,0.13842746400885936
8831,78,28,527913.3748759193,513512.90734967584,0.016660599334073253,0.018518518518518517
