,Simulation Id,Flow Id,TX bitrate kbit/s,RX bitrate kbit/s,Mean Delay ms,Packet Loss Ratio %
0,1,1,527819.2628494138,528344.4128614049,0.0024974594594594597,0.0
1,1,2,527884.6153846154,528415.2005594559,0.002493299180327869,0.0
2,1,3,527898.4005062517,528913.5329779194,0.0026465509989484757,0.0
3,1,4,527979.714835588,528372.1479208315,0.0025420627261761156,0.0
4,1,5,528144.7923507608,528146.7966273638,0.0024848024316109427,0.0
5,1,6,528246.5150403521,528580.1832628825,0.002541179487179487,0.0
6,1,7,528699.0576428834,528700.7167334027,0.0024848,0.0
7,1,8,528894.7610294117,528898.5588419035,0.0025360733137829916,0.0
8,1,9,531703.0356224085,531738.28125,0.002536,0.0
9,1,10,536132.8125,541817.3456803026,0.0027,0.0
10,2,1,527799.0305637433,528582.2918471274,0.0025532269197584127,0.0
11,2,2,527819.2628494138,527995.3595603033,0.002487522522522523,0.0
12,2,3,527970.9469668929,528664.5150212593,0.00249705112960761,0.0
13,2,4,527979.714835588,528606.1151742816,0.0024948009650180942,0.0
14,2,5,528042.2185430464,528559.244268002,0.0025440079365079368,0.0
15,2,6,528193.1424370434,528193.1424370434,0.0024848070739549844,0.0
16,2,7,528351.5621717758,529096.2254492928,0.0025475000000000003,0.0
17,2,8,528453.947368421,528460.1002322958,0.0024848631578947367,0.0
18,2,9,529156.3717820183,529156.3717820183,0.002536,0.0
19,2,10,529233.407858871,529233.407858871,0.002536,0.0
20,2,11,575296.8593940738,617945.3836150845,0.0029928545454545458,0.0
21,3,1,527799.0305637433,528526.494674865,0.0025517601380500433,0.0
22,3,2,527819.2628494138,528344.4128614049,0.0024940720720720722,0.0
23,3,3,527927.9596275099,527930.103015769,0.0024848283499446294,0.0
24,3,4,527961.6702300301,528950.2661038722,0.002557037470725996,0.0
25,3,5,528116.4141436741,528117.359413203,0.002484802342606149,0.0
26,3,6,528265.003211811,529165.0455550187,0.0025578184991274,0.0
27,3,7,528581.9490571065,528587.5952871972,0.0025360563380281693,0.0
28,3,8,536132.8125,536279.5605486934,0.002536,0.0
29,3,9,550260.057318756,577958.6376052176,0.0029136458333333336,0.0
30,4,1,527813.5236439866,528680.6619546451,0.0025555793226381463,0.0
31,4,2,527840.8966705055,527841.2441037736,0.0026816022620169654,0.0
32,4,3,527846.6946682787,528340.866880645,0.0024927073403241185,0.0
33,4,4,527858.60827956,528175.3141259461,0.0024897073170731705,0.0
34,4,5,527884.6153846154,528084.2866769036,0.0025390983606557375,0.0
35,4,6,527999.4898555654,528000.2915115481,0.002484795031055901,0.0
36,4,7,528077.0112308045,528080.5463605714,0.0024848400556328233,0.0
37,4,8,528699.0576428834,531216.2038598936,0.002654974358974359,0.0
38,4,9,529411.7647058823,529411.7647058823,0.00248480078125,0.0
39,4,10,530061.3496932515,532418.524871355,0.0026688195876288664,0.0
40,4,11,530980.6034482758,530980.6034482758,0.002536,0.0
41,4,12,531703.0356224085,531738.28125,0.002484801652892562,0.0
42,4,13,550260.057318756,550289.2627779841,0.0024848,0.0
43,5,1,527799.0305637433,528079.0371961336,0.002489257981018119,0.0
44,5,2,527808.7797619047,527956.4019541871,0.0025394268077601413,0.0
45,5,3,527819.2628494138,528169.8285408647,0.002490225225225225,0.0
46,5,4,527824.1120420002,527824.6993864211,0.002484808743169399,0.0
47,5,5,527829.7811059908,528246.9908684539,0.0025424677716390427,0.0
48,5,6,527852.8934559221,527852.8934559221,0.002485081967213115,0.0
49,5,7,527858.60827956,528417.98005425,0.002640156097560976,0.0
50,5,8,527920.5715132841,527921.9816573556,0.002536032786885246,0.0
51,5,9,528019.8317307691,528881.6200452662,0.002979256410256411,0.0
52,5,10,528130.8302238806,528130.8302238806,0.0030319970193740686,0.0
53,5,11,528950.7179063484,529350.6396767165,0.0025725562310030398,0.0
54,5,12,530061.3496932515,532770.0373773851,0.0025791025641025644,0.0
55,5,13,530239.1092927328,530257.9666160849,0.0024848021978021977,0.0
56,5,14,530239.1092927328,530225.7829570284,0.0025502747252747256,0.0
57,5,15,531306.7900214769,531335.8302122346,0.002681601503759399,0.0
58,6,1,527804.1352241386,528651.450376353,0.0025551525719267657,0.0
59,6,2,527819.2628494138,528228.9996971759,0.0025423513513513516,0.0
60,6,3,527834.9764846951,527835.9155619222,0.0025360018639328983,0.0
61,6,4,527840.8966705055,528146.5691075647,0.0024895381715362864,0.0
62,6,5,528030.0597953416,528033.3076565594,0.0024848307291666667,0.0
63,6,6,528103.4255309793,528103.4255309793,0.0026495971223021585,0.0
64,6,7,528265.003211811,528832.6781746709,0.002494677137870855,0.0
65,6,8,528327.8409259128,528329.4392523365,0.0025360074626865673,0.0
66,6,9,528484.3488668881,529748.2837528604,0.0025070194384449246,0.0
67,6,10,542410.7142857142,542410.7142857142,0.0024848,0.0
68,7,1,527789.4092520403,528338.4253993972,0.0025466356720202873,0.0
69,7,2,527813.5236439866,528311.4620514839,0.0028756951871657757,0.0
70,7,3,527813.5236439866,528160.6344761936,0.002490169340463458,0.0
71,7,4,527852.8934559221,528291.7406655299,0.0025427965284474446,0.0
72,7,5,528009.0997785166,528009.913595127,0.002484804539722573,0.0
73,7,6,528065.3268429533,528773.4957769889,0.002496133879781421,0.0
74,7,7,528077.0112308045,529162.8334866605,0.0025582058414464533,0.0
75,7,8,528176.4290700678,528383.276968695,0.0024879968454258675,0.0
76,7,9,528515.625,528515.625,0.002484789356984479,0.0
77,7,10,528836.9101383922,528842.6192441339,0.002536,0.0
78,7,11,529078.0084886985,529089.7004612936,0.0025360822368421052,0.0
79,7,12,529761.5714557692,529764.5378951199,0.002484799086757991,0.0
80,7,13,530700.1516152859,530704.2779168675,0.002536,0.0
81,8,1,527846.6946682787,528156.1364025738,0.0024895900857959965,0.0
82,8,2,527905.6753556044,528251.4679511972,0.002541352502662407,0.0
83,8,3,527927.9596275099,528359.1307786909,0.0024914728682170545,0.0
84,8,4,528065.3268429533,528067.090491005,0.0024848360655737706,0.0
85,8,5,528161.3372093022,528163.3363740627,0.0024848452012383904,0.0
86,8,6,529078.0084886985,531666.4777419721,0.0025885328947368425,0.0
87,8,7,529636.5489130435,531586.0966839792,0.0026795194805194805,0.0
88,8,8,530700.1516152859,530704.2779168675,0.002536,0.0
89,9,1,527819.2628494138,527808.2243951041,0.0025243513513513514,0.0
90,9,2,527846.6946682787,528387.0696932527,0.002633326978074357,0.0
91,9,3,527871.4926177416,528712.6459008248,0.00255608,0.0
92,9,4,527905.6753556044,527903.6143323968,0.0026326517571884987,0.0
93,9,5,527913.3748759193,528255.9917265432,0.002582416396979504,0.0
94,9,6,527979.714835588,527982.6624108979,0.002536031363088058,0.0
95,9,7,527999.4898555654,528240.8982647158,0.0025412919254658387,0.0
96,9,8,528042.2185430464,528465.1642958507,0.0025577645502645506,0.0
97,9,9,528788.5273972602,528793.9152480984,0.0024848,0.0
98,9,10,529233.407858871,531327.9685138981,0.002574814285714286,0.0
99,9,11,529636.5489130435,529636.5489130435,0.002484800865800866,0.0
100,9,12,529636.5489130435,530196.5284751111,0.003069112554112554,0.0
101,9,13,530463.360901441,530463.360901441,0.0026816,0.0
102,9,14,536132.8125,536279.5605486934,0.0026176000000000003,0.0
103,10,1,527884.6153846154,528549.6699949229,0.002557069672131148,0.0
